titolo,categoria,ingredienti
Paccheri al sugo di coccio,PRIMI PIATTI,"['Paccheri 320 g', 'Gallinella (chiamata anche coccio) 1 kg', 'Pomodorini ciliegino 600 g', 'Acqua 700 g', 'Aglio 2 spicchi', 'Peperoncino fresco 1', 'Basilico q.b.', 'Prezzemolo q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.']"
Ciambellone nido di Pasqua,DOLCI,"['Latte condensato 70 g', 'Zucchero 150 g', 'Farina 00 350 g', 'Olio extravergine di oliva 100 g', 'Uova 4', 'Lievito in polvere per dolci 16 g', ""Scorza d'arancia (non trattata) 1"", 'Sale fino 1 pizzico', 'Latte intero 50 g', 'Latte intero 200 g', 'Latte condensato 80 g', 'Tuorli 3', 'Cioccolato fondente 275 g', 'Gelatina in fogli 16 g', 'Panna fresca liquida 350 g', 'Caffè 100 g', 'Cioccolato fondente in scaglie 100 g', 'Ovetti di cioccolato al latte ricoperti di zucchero 150 g']"
Gazpacho alla mediterranea,PRIMI PIATTI,"['Pomodorini datterini 300 g', 'Pomodori pizzutelli 500 g', ""Peperoni sott'olio 60 g"", 'Sedano 30 g', 'Basilico q.b.', 'Ricotta di pecora 100 g', 'Olio extravergine di oliva 30 g', 'Cipollotti di Tropea 30 g', 'Aceto di vino rosso 2 cucchiai', 'Sale fino 2 cucchiai', 'Pane 40 g', 'Olio extravergine di oliva 1 cucchiaio', 'Sale fino 1 cucchiaino', 'Origano secco 1 cucchiaino']"
Polpo su crema di piselli e patate,ANTIPASTI,"['Polpo 1,2 kg', 'Sale fino q.b.', 'Pepe rosa q.b.', 'Olio extravergine di oliva grezzo, non filtrato q.b.', 'Origano q.b.', 'Pisellini 400 g', 'Patate 200 g', 'Acqua 100 g', 'Olio extravergine di oliva grezzo, non filtrato 40 g', 'Sale fino q.b.', 'Pepe nero q.b.']"
Congee,PIATTI UNICI,"['Riso glutinoso 100 g', 'Acqua 800 ml', 'Zucchero q.b.', 'Miele q.b.', 'Fragole q.b.', 'Bacche di Goji q.b.', 'Semi di sesamo nero q.b.', 'Salsa di soia q.b.', 'Cipollotto fresco q.b.', 'Arachidi in granella q.b.']"
Fregola con zucca e cozze,PRIMI PIATTI,"['Fregola 300 g', 'Cozze 1 kg', 'Zucca delica 650 g', 'Aglio 2 spicchi', 'Prezzemolo 2 ciuffi', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Acqua 400 g', 'Prezzemolo q.b.']"
Gnocchi con ragù di scorfano e bottarga,PRIMI PIATTI,"['Patate 1 kg', 'Semola di grano duro rimacinata 500 g', 'Tuorli 2', 'Scorfano intero 1 kg', 'Pomodorini ciliegino 500 g', 'Aglio 4 spicchi', 'Scorza di limone 1', 'Rosmarino 2 rametti', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Bottarga di muggine q.b.']"
Calamarata con cavolo nero e 'nduja,PRIMI PIATTI,"['Calamarata 320 g', 'Cavolo nero 500 g', 'Nduja 80 g', 'Aglio 1 spicchio', 'Pecorino stagionato 120 g', 'Sale fino q.b.', 'Olio extravergine di oliva q.b.']"
Risotto alla crema di patate con ragù di seppie,PRIMI PIATTI,"['Riso Carnaroli 180 g', 'Seppie (da pulire) 250 g', 'Patate 100 g', 'Aglio 1 spicchio', 'Prezzemolo piccolo 1 mazzetto', 'Scorza di limone (da grattugiare) q.b.', 'Acqua calda q.b.', 'Vino bianco q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Spinacini 50 g', 'Nero di seppia q.b.', 'Scorza di limone (da grattugiare) q.b.', 'Olio extravergine di oliva q.b.']"
Zenzero candito,DOLCI,"['Zenzero fresco da pulire 450 g', 'Acqua q.b.', 'Zenzero lessato 160 g', 'Zucchero 160 g', 'Acqua 100 g', 'Sale fino 1 cucchiaino', 'Zucchero q.b.']"
Tortelli di salsiccia e patate,PRIMI PIATTI,"['Farina 00 300 g', 'Uova 3', 'Sale fino 1 pizzico', 'Patate 250 g', 'Salsiccia 250 g', 'Olio extravergine di oliva grezzo non filtrato q.b.', 'Grana Padano DOP da grattugiare 30 g', 'Timo q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva non filtrato q.b.', 'Timo q.b.', 'Pepe nero q.b.']"
Calamari fritti alla birra,SECONDI PIATTI,"['Calamari 800 g', 'Sale fino q.b.', 'Erba cipollina q.b.', 'Farina 00 100 g', 'Birra chiara 100 g', 'Olio extravergine di oliva 1 cucchiaio', 'Sale fino q.b.', 'Yogurt greco 170 g', 'Erba cipollina q.b.', 'Lime 1', 'Olio extravergine di oliva 1 cucchiaio', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio di semi di arachide 500 ml']"
Budino di castagne,DOLCI,"['Castagne 1 kg', 'Latte intero 500 g', 'Zucchero 50 g', 'Panna fresca liquida 260 g', 'Cioccolato fondente 150 g', 'Gelatina in fogli 8 g', 'Cioccolato fondente 30 g']"
Torta flaò,DOLCI,"['Olio extravergine di oliva 50 g', 'Farina 00 230 g', 'Lievito in polvere per dolci 5 g', 'Uova 1', ""Liquore all'anice 20 g"", ""Succo d'arancia 40 g"", 'Scorza di limone ½', 'Zucchero 30 g', 'Formaggio fresco spalmabile 100 g', 'Yogurt greco 180 g', 'Caprino 100 g', 'Panna fresca liquida 30 g', 'Zucchero 50 g', 'Uova 3', 'Menta 5 g', 'Scorza di limone ½']"
Cestini croccanti con caponata di melanzane e zucchine,ANTIPASTI,"['Melanzane lunghe 300 g', 'Zucchine bianche 300 g', 'Cipolle rosse di Tropea 1', 'Passata di pomodoro 200 g', 'Aceto di vino rosso 50 g', 'Zucchero 30 g', 'Sale grosso 30 g', 'Olio extravergine di oliva 50 g', 'Dischetti di pasta 16', 'Sale fino q.b.', 'Pepe nero q.b.', 'Uova 1', 'Basilico q.b.']"
Gnocchi con salsiccia e mele,PRIMI PIATTI,"['Patate rosse 1 kg', 'Farina 00 300 g', 'Uova medio 1', 'Sale fino q.b.', 'Maggiorana q.b.', 'Semola q.b.', 'Mele Fuji 240 g', 'Salsiccia 400 g', 'Birra scura 100 g', 'Semi di finocchio 4 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva q.b.', 'Acqua 40 g']"
Ravioli verdi ripieni di baccalà,PRIMI PIATTI,"['Farina 00 200 g', 'Spinaci 200 g', 'Uova 2', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Baccalà dissalato 300 g', 'Patate 100 g', 'Cipolle bianche 1', 'Latte intero 100 g', 'Mandorle 20 g', 'Melagrana 1', 'Sale fino q.b.', 'Pepe nero q.b.', 'Aneto q.b.']"
Panettone senza lievitazione,DOLCI,"['Farina 00 300 g', 'Uova (circa 4 intere) 200 g', 'Zucchero 125 g', 'Latte parzialmente scremato 200 g', 'Gocce di cioccolato fondente 100 g', 'Mirtilli secchi 50 g', 'Miele 25 g', 'Lievito in polvere per dolci 16 g', 'Olio di semi di girasole 50 g', 'Fecola di patate 50 g', 'Zucchero 15 g', 'Albumi 35 g', 'Mandorle q.b.', 'Granella di zucchero q.b.']"
Cheesecake biscotto con Nutella®,DOLCI,"['Biscotti secchi 360 g', 'Burro 180 g', 'Sale fino 1 pizzico', 'Formaggio fresco spalmabile 700 g', 'Zucchero 280 g', 'Panna fresca liquida 100 g', 'Biscotti secchi 100 g', 'Amido di mais (maizena) 30 g', 'Uova 3', 'Baccello di vaniglia 1', 'Nutella® 180 g', 'Biscotti secchi 50 g']"
"Coppe di pandoro, crema e Nutella®",DOLCI,"['Nutella® 150 g', 'Pandoro 300 g', 'Panna fresca liquida 200 g', 'Latte intero 400 g', 'Amido di mais (maizena) 40 g', 'Tuorli 4', 'Zucchero 80 g', 'Caffè 150 g']"
Spaghetti integrali con fiori e crema di zucchine,PRIMI PIATTI,"['Spaghetti Integrali 320 g', 'Zucchine con fiore 400 g', 'Cipolle ramate 70 g', 'Patate 100 g', 'Basilico 5 g', 'Semi di zucca 40 g', 'Acqua 250 g', 'Sale fino q.b.', 'Olio extravergine di oliva q.b.']"
Uova nel pane,PIATTI UNICI,"['Panini (tipo michette) 2', 'Uova (circa 2 medie) 110 g', 'Mozzarella (affumicata) 80 g', 'Pomodori pelati (peso da sgocciolati) 100 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Origano q.b.']"
Merluzzo con salsa alla melagrana,SECONDI PIATTI,"['Merluzzo 300 g', 'Maggiorana 3 rametti', 'Timo 2 rametti', 'Rosmarino 2 rametti', 'Salvia 2 rametti', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva q.b.', 'Melagrana 350 g', 'Acqua 230 g', 'Fecola di patate 25 g']"
Zuppa inglese di colomba,DOLCI,"['Colomba 200 g', 'Alchermes 100 g', 'Granella di zucchero q.b.', 'Mandorle q.b.', 'Latte intero 500 g', 'Zucchero 140 g', 'Tuorli (circa 4 medi) 70 g', 'Cioccolato fondente tritato a coltello 50 g', 'Amido di mais (maizena) 45 g', 'Estratto di vaniglia 1 cucchiaino']"
Parmigiana di cardi,SECONDI PIATTI,"['Cardi 1 kg', 'Pomodori pelati 500 g', 'Vitello (macinato) 200 g', 'Maiale (macinato) 200 g', 'Sedano 50 g', 'Carote 50 g', 'Cipolle dorate 50 g', 'Uova 4', 'Farina 00 250', 'Olio extravergine di oliva 40 g', 'Olio di semi di arachide per friggere 500 ml', 'Parmigiano Reggiano DOP grattugiato 150 g', 'Sale fino q.b.', 'Pepe nero q.b.']"
Charlotte salata,ANTIPASTI,"['Farina Manitoba 350 g', 'Farina 00 300 g', 'Zucchero 20 g', 'Grana Padano DOP da grattugiare 20 g', 'Latte intero 125 ml', 'Uova medie 2', 'Tuorli 1', 'Burro 150 g', 'Lievito di birra secco 4 g', 'Acqua 250 ml', 'Sale fino q.b.', 'Pepe nero q.b.', 'Noce moscata q.b.', 'Ricotta vaccina 500 g', 'Porri 2', 'Parmigiano Reggiano DOP da grattugiare 1 cucchiaio', 'Panna fresca liquida 50 ml', 'Gelatina in fogli 4 g', 'Olio di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Ricotta vaccina 250 g', 'Prosciutto cotto 150 g', 'Panna fresca liquida 25 ml', 'Gelatina 2 g', 'Noce moscata q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Prosciutto cotto di praga 4 fette', 'Semi di papavero q.b.', 'Basilico q.b.', 'Uova 1']"
Lorighittas con melanzane e funghi,PRIMI PIATTI,"['Lorighittas 400 g', 'Melanzane 300 g', 'Funghi champignon 300 g', 'Porri 350 g', 'Aglio 2 spicchi', 'Prezzemolo da tritare q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Stelline alla Nutella,DOLCI,"['Pan carrè 8 fette', 'Nutella 40 g', 'Latte intero 50 ml', 'Uova 1', 'Burro 30 g', 'Zucchero a velo q.b.', 'Codette colorate q.b.']"
Yakitori roll,ANTIPASTI,"['Carta di riso 8 fogli', 'Petto di pollo 700 g', 'Salsa di soia 40 g', 'Olio extravergine di oliva 20 g', 'Aceto di riso 2 cucchiai', 'Scorza di lime da grattugiare 1', 'Miele millefiori 1 cucchiaio', 'Tabasco® q.b.', 'Peperoni rossi 100 g', 'Peperoni gialli 100 g', 'Cipolle dorate 100 g', 'Prezzemolo q.b.', 'Maionese 2 cucchiai', 'Ketchup 2 cucchiai', 'Tabasco® q.b.']"
Quiche al salmone con patate e radicchio,TORTE SALATE,"['Burro (freddo di frigorifero) 100 g', 'Farina 00 200 g', 'Acqua (ghiacciata) 70 ml', 'Sale fino 5 g', 'Timo 2 rametti', 'Origano 2 rametti', 'Filetto di salmone norvegese 500 g', 'Radicchio 200 g', 'Patate 300 g', 'Panna fresca liquida 300 ml', 'Uova 2', 'Tuorli 1', 'Scorza di limone (non trattata) 1', 'Aneto 2 rametti', 'Sale fino q.b.', 'Pepe nero q.b.']"
Polpette di pollo all'arancia,SECONDI PIATTI,"['Petto di pollo macinato 500 g', ""Scorza d'arancia 2"", ""Succo d'arancia 3"", 'Grana Padano DOP 80 g', 'Pane casereccio 65 g', 'Latte intero caldo 100 g', 'Uova 1', 'Olio extravergine di oliva 40 g', 'Sale fino q.b.', 'Farina 00 q.b.']"
Polpette con crema di cannellini,SECONDI PIATTI,"['Macinato di maiale 300 g', 'Macinato di manzo 200 g', 'Scalogno tritato 1', 'Aglio 1 spicchio', 'Uova 1', 'Cumino in polvere 1 cucchiaino', 'Paprika dolce ½ cucchiaino', 'Coriandolo in polvere ½ cucchiaino', 'Menta tritata q.b.', 'Prezzemolo tritato q.b.', 'Sale fino q.b.', 'Olio extravergine di oliva q.b.', 'Fagioli cannellini precotti sgocciolati 300 g', 'Aglio 1 spicchio', 'Rosmarino q.b.', 'Olio extravergine di oliva q.b.']"
Mezze maniche con melanzane e scamorza affumicata,PRIMI PIATTI,"['Mezze Maniche Rigate 240 g', 'Melanzane 250 g', 'Pomodorini ciliegino 250 g', 'Scamorza affumicata 80 g', 'Aglio 1 spicchio', 'Basilico q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Caprese fritta,ANTIPASTI,"['Pomodori ramati 8', 'Mozzarella 4', 'Basilico q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Origano q.b.', 'Latte intero 100 ml', 'Farina 00 45 g', 'Uova 1', 'Sale fino q.b.', 'Olio di semi di arachide q.b.']"
Spada in crosta con purea di topinambur,SECONDI PIATTI,"['Pesce spada (4 fette) 600 g', 'Timo 3 rametti', 'Menta 4 rametti', 'Prezzemolo 2 ciuffi', 'Peperoncino 1', ""Capperi sott'aceto 20 g"", 'Gherigli di noci 40 g', 'Scorza di limone (non trattato) 1', 'Olio extravergine di oliva 20 g', 'Topinambur 650 g', 'Aglio 1 spicchio', 'Brodo vegetale 200 ml', 'Olio extravergine di oliva 20 g', 'Prezzemolo 1 ciuffo', 'Sale fino 1 pizzico', 'Pepe nero 1 pizzico']"
Arrosto di vitello all'uva,SECONDI PIATTI,"['Carne bovina noce di vitello circa 1 kg', 'Uva bianca 300 g', 'Uva nera 300 g', 'Vino bianco 250 ml', 'Olio extravergine di oliva q.b.', 'Burro 50 g', 'Sedano 2 coste', 'Carote 2', 'Cipolle 2', 'Aglio 3 spicchi', 'Rosmarino 1 rametto', 'Bacche di ginepro 3', 'Salvia 3 foglie', 'Prezzemolo 1 ciuffo', 'Sale fino q.b.', 'Pepe nero q.b.']"
Involtini di carne al formaggio,SECONDI PIATTI,"['Sottofesa di vitello 600 g', 'Formaggio (fontina o scamorza affumicata) 100 g', 'Burro 20 g', 'Olio extravergine di oliva 20 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Vino bianco q.b.', 'Zucchine 2', 'Aceto di mele 300 g', 'Sale fino q.b.']"
Pan di Spagna integrale,DOLCI,"['Uova 275 g', 'Zucchero di canna 150 g', 'Farina integrale 150 g', 'Miele 10 g', 'Scorza di limone ½', 'Sale fino 1 pizzico']"
Topolini di uova,ANTIPASTI,"['Uova 6', 'Ravanelli 6', 'Olive nere denocciolate 10', 'Maionese 25 g', 'Ketchup 15 g', 'Rosmarino 2 rametti', 'Erba cipollina q.b.', 'Insalata q.b.']"
Pici con ragù di funghi e noci,PRIMI PIATTI,"['Semola di grano duro rimacinata 300 g', 'Acqua tiepida 160 g', 'Sale fino 1 pizzico', 'Funghi misti (pleurotus, portobello, chiodini, champignon) 400 g', 'Funghi porcini secchi 70 g', 'Gherigli di noci 150 g', 'Passata di pomodoro 300 g', 'Carote 1', 'Cipolle ½', 'Sedano 1 costa', 'Aglio 1 spicchio', 'Concentrato di pomodoro 1 cucchiaio', ""Pomodori secchi sott'olio 25 g"", 'Vino rosso 60 g', 'Brodo vegetale 500 g', 'Erbe aromatiche q.b.', 'Acqua q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Reginette con crema di ricotta e dadolata di pesce spada,PRIMI PIATTI,"['Reginette 320 g', 'Ricotta 600 g', 'Pesce spada 400 g', 'Sale fino 1 pizzico', 'Pepe rosa 1 pizzico', 'Aglio 1 spicchio', 'Olio extravergine di oliva 60 g', 'Vino bianco 30 g', 'Maggiorana 4 foglie']"
Muffin senza glutine,DOLCI,"['Farina di riso venere 200 g', 'Farina di castagne 120 g', 'Amido di mais (maizena) 100 g', 'Burro 50 g', 'Yogurt greco a temperatura ambiente 200 g', 'Latte intero a temperatura ambiente 160 g', 'Uova medie (a temperatura ambiente) 2', 'Zucchero 150 g', 'Lievito in polvere per dolci senza glutine 5 g', 'Mirtilli rossi disidratati 150 g']"
Crostata al cioccolato con pere e noci pecan,DOLCI,"['Farina di mandorle 40 g', 'Farina 00 260 g', 'Burro (freddo da frigorifero) 160 g', 'Zucchero a velo 120 g', 'Tuorli 1', 'Sale fino 1 pizzico', 'Latte intero 90 g', 'Panna fresca liquida 180 g', 'Uova 1', 'Tuorli 1', 'Zucchero 35 g', 'Cioccolato fondente 60 g', 'Baccello di vaniglia 1', 'Zucchero muscovado 75 g', 'Acqua 20 g', 'Burro 10 g', 'Pere abate 2', 'Noci pecan 70 g', 'Burro q.b.']"
Schiacciate con crema di mortadella e pistacchi,ANTIPASTI,"['La Bottega di Olivia&Marino schiacciate 12', 'Mortadella a fette 100 g', 'Formaggio fresco spalmabile 70 g', 'Panna fresca liquida 60 g', 'Granella di pistacchi salati 10 g', 'Pepe nero q.b.']"
Uova alla benedict con tartufo e fonduta di tomino,PIATTI UNICI,"['Patate rosse 300 g', 'Burro chiarificato q.b.', 'Uova bio 2', 'Sale fino q.b.', 'Pepe nero q.b.', 'Grissini 100 g', 'Spinaci 150 g', 'Aglio 1', 'Burro 10 g', 'Sale fino q.b.', 'Uova freschissime 2', 'Aceto di vino bianco cucchiai 2', 'Sale grosso q.b.', 'Tomini 1', 'Panna fresca liquida q.b.', 'Pepe nero q.b.', 'Tartufo nero q.b.']"
Nachos con carne,ANTIPASTI,"['Nachos 200 g', 'Cheddar 130 g', 'Edamer 130 g', 'Peperoncini Jalapeno q.b.', 'Coriandolo q.b.', 'Macinato di manzo 300 g', 'Fagioli neri precotti (peso sgocciolato) 250 g', 'Cipolle rosse grande 1', 'Aglio 1 spicchio', 'Acqua 80 g', 'Coriandolo in polvere q.b.', 'Cumino in polvere q.b.', 'Peperoncino in polvere q.b.', 'Origano secco q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Pomodori piccadilly 200 g', 'Cipolle rosse piccola 1', 'Peperoncini Jalapeno piccolo 1', 'Succo di lime ½', 'Prezzemolo q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.']"
Finta carbonara allo zafferano,PRIMI PIATTI,"['Spaghettoni di Gragnano 320 g', 'Guanciale di maialino nero casertano 80 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olive nere caiazzane (in polvere) q.b.', 'Cipolle alifane 2', 'Olio extravergine di oliva q.b.', 'Crema di latte di bufala 700 g', 'Zafferano in pistilli 0,2 g', 'Guanciale di maialino nero casertano 200 g', 'Olio extravergine di oliva 20 g']"
Diamanti al cacao e mandorle,DOLCI,"['Burro freddo 200 g', 'Farina 00 250 g', 'Farina di mandorle 170 g', 'Cacao amaro in polvere 20 g', 'Zucchero a velo 180 g', 'Uova (1 intero) 55 g', 'Zucchero 70 g', 'Cannella in polvere ½ cucchiaino']"
Focaccia al miglio,LIEVITATI,"['Farina 00 100 g', 'Farina integrale di miglio 70 g', 'Farina Manitoba 90 g', 'Acqua a temperatura ambiente 150 g', 'Lievito di birra fresco 5 g', 'Malto 20 g', 'Sale fino 15 g', 'Olio extravergine di oliva 25 g', 'Erbette 80 g', 'Olio extravergine di oliva q.b.', 'Aglio 1 spicchio', 'Provola affumicata 50 g', 'Sale di maldon q.b.', 'Olio extravergine di oliva 25 g', 'Acqua 25 g']"
Patate al microonde,CONTORNI,"['Patate novelle 400 g', 'Acqua 60 g', 'Rosmarino 1 rametto', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.']"
Poke di pollo,PIATTI UNICI,"['Riso per sushi 500 g', 'Acqua 500 g', 'Aceto di riso 30 g', 'Zucchero 10 g', 'Sale fino 5 g', 'Petto di pollo 600 g', 'Panko 50 g', 'Farina 00 q.b.', 'Uova 2', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio di semi di girasole per friggere q.b.', 'Peperoni rossi 150 g', 'Peperoni verdi 150 g', 'Peperoni gialli 150 g', 'Lime 1', 'Germogli di ravanello 80 g', 'Anacardi 40 g', 'Semi di sesamo q.b.', 'Salsa ponzu q.b.']"
Cuore di scamone in crosta con lardo e porcini,SECONDI PIATTI,"['Burro (freddo da frigorifero) 75 g', 'Farina 00 150 g', 'Acqua (ghiacciata) 45 ml', 'Sale fino 1 pizzico', 'Pepe nero 1 pizzico', 'Rosmarino 1 rametto', 'Manzo scamone 850 g', 'Funghi porcini 500 g', 'Lardo di Colonnata (a fette) 200 g', 'Aglio 1 spicchio', 'Peperoncino fresco 1', 'Prezzemolo 1 ciuffo', 'Olio extravergine di oliva 40 g', 'Sale fino 1 pizzico', 'Pepe nero 1 pizzico', 'Uova 1']"
Rosa emiliana,ANTIPASTI,"['Prosciutto crudo (di Parma, 12 fette) 300 g', 'Aceto balsamico 15 g', 'Olio extravergine di oliva 30 g', 'Sale fino 1 pizzico', 'Rucola 100 g', 'Parmigiano Reggiano DOP 60 g']"
Spiedini di involtini ai pistacchi,SECONDI PIATTI,"['Fettine di vitello (in fette sottili) 500 g', 'Farina di pistacchi 250 g', 'Scamorza (provola) 120 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.']"
Rustico con verdure primaverili,TORTE SALATE,"['Pasta Sfoglia 230 g', 'Formaggio a pasta filata 270 g', 'Carciofi (da pulire) 500 g', 'Asparagi (da pulire) 500 g', 'Spinacini 100 g', 'Mandorle 60 g', 'Tuorli 1', 'Limoni 1', 'Vino bianco 60 g', 'Latte intero q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.']"
Cheesecake al frutto della passione,DOLCI,"['Biscotti integrali 250 g', 'Burro fuso 130 g', 'Formaggio fresco spalmabile 500 g', 'Scorza di lime 1', 'Latte intero 200 g', 'Gelatina in fogli 10 g', 'Zucchero a velo 120 g', 'Frutto della passione purea 200 g', 'Mango purea 100 g', 'Zucchero 50 g', 'Succo di lime 30 ml', 'Gelatina in fogli 10 g', 'Frutto della passione 1']"
Crema di cacao e vaniglia,BEVANDE,"['Zucchero 500 g', 'Baccello di vaniglia 1', 'Alcol puro 250 ml', 'Panna fresca liquida 150 ml', 'Latte intero 500 ml', 'Cacao amaro in polvere 100 g']"
Crostini con ricotta e marmellata di peperoncini,ANTIPASTI,"['Baguette 1', 'Ricotta vaccina 60 g', 'Ricotta affumicata stagionata 60 g', 'Olio extravergine di oliva 40 g', 'Peperoncino fresco rosso piccante 200 g', 'Peperoni rossi 800 g', 'Zucchero 500 g', 'Sale grosso 1 pizzico', 'Vino rosso 50 ml']"
Crostini di cozze e pomodorini,ANTIPASTI,"['Cozze 400 g', 'Baguette 120 g', 'Vino bianco fermo 50 ml', 'Aglio 2 spicchi', 'Pomodorini ciliegino 150 g', 'Olio extravergine di oliva 40 g', 'Prezzemolo fresco 1 mazzetto', 'Pepe 1 pizzico', 'Sale fino 1 pizzico']"
Spaghetti con cozze e ricci di mare,PRIMI PIATTI,"['Spaghetti 320 g', 'Ricci di mare 10', 'Cozze 400 g', 'Olio extravergine di oliva 40 g', 'Prezzemolo 1 ciuffo', 'Aglio 1 spicchio', 'Pepe bianco q.b.', 'Vino bianco 60 g']"
Strisce di pollo alla melagrana,SECONDI PIATTI,"['Petto di pollo 720 g', 'Melagrana (circa 2 intere) 700 g', 'Farina 00 60 g', 'Olio extravergine di oliva 60 g', 'Pepe nero q.b.', 'Sale fino q.b.', 'Insalata mista 100 g']"
Fagottini di fiori di zucca,ANTIPASTI,"['Fiori di zucca 16', 'Zucchine 3', 'Patate 3', 'Aglio 1 spicchio', 'Origano fresco q.b.', 'Prezzemolo q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Uova 1', 'Parmigiano Reggiano DOP da grattugiare 50 g', 'Pangrattato 20 g', 'Provola 50 g']"
Pasta cozze e mollica,PRIMI PIATTI,"['Spaghetti 400 g', 'Cozze pulite 1 kg', 'Pane mollica 60 g', 'Aglio 2 spicchi', 'Prezzemolo 1 ciuffo', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.']"
Tiramisù al baileys con pandoro,DOLCI,"['Mascarpone 500 g', 'Zucchero 150 g', 'Acqua 30 g', 'Tuorli (5 medi a temperatura ambiente) 78 g', 'Baileys 60 g', 'Caffè 60 g', 'Baileys 70 g', 'Pandoro 300 g', 'Cacao amaro in polvere q.b.']"
Trofie con funghi e spianata,PRIMI PIATTI,"['Trofie 500 g', 'Pomodorini ciliegino 350 g', 'Funghi champignon 200 g', 'Spianata calabrese 150 g', 'Cipolle rosse di Tropea 1', 'Acqua q.b.', 'Basilico q.b.', 'Ricotta salata q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.']"
Torta leggera,DOLCI,"['Riso soffiato 50 g', 'Cioccolato bianco 100 g', 'Cardamomo verde in polvere 3 g', 'Yogurt bianco naturale 500 g', 'Zucchero 50 g', 'Gelatina in fogli 20 g', 'Liquore Calvados 50 ml', 'Mele Granny Smith pulite, a cubetti 250 g', 'Succo di limone 50 ml', 'Succo di mela 200 g', 'Liquore Calvados 40 ml', 'Gelatina in fogli 10 g', 'Mele Granny Smith q.b.', 'Cardamomo verde, in semi q.b.']"
Polpette di zucca al forno,ANTIPASTI,"['Zucca delica (da pulire) 1 kg', 'Formaggio fresco spalmabile 150 g', 'Pangrattato 120 g', 'Parmigiano Reggiano DOP (da grattugiare) 80 g', 'Maggiorana fresca q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Pangrattato q.b.']"
Barchette di pane ripiene,ANTIPASTI,"['Parmigiano Reggiano DOP da grattugiare 20 g', 'Ricotta 40 g', 'Uova 6', 'Erba cipollina q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva 3 cucchiai', 'Pancetta 70 g', 'Melanzane 140 g', 'Prosciutto cotto 100 g', 'Zucchine 200 g', 'Panini ai cereali 8', 'Uova 1']"
"Timballo di mezzi rigatoni con pomodorini, fagiolini e provola",PRIMI PIATTI,"['Mezzi Rigatoni Senza Glutine 320 g', 'Pomodorini datterini 500 g', 'Fagiolini 300 g', 'Scamorza affumicata 200 g', 'Cipollotti 3', 'Basilico 10 foglie', 'Parmigiano Reggiano DOP 50 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Pizzette veloci,LIEVITATI,"['Farina 0 350 g', 'Latte intero 200 g', 'Olio extravergine di oliva 60 g', 'Lievito istantaneo per preparazioni salate 8 g', 'Sale fino 8 g', 'Zucchero 5 g', 'Stracchino 150 g', 'Salmone affumicato 100 g', 'Rucola 30 g']"
